"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.3","...","1010.6","2012-01-04 09:30","990.5","2012-01-15 16:02","14.4","25.0","2012-01-18 13:55","7.8","2012-01-04 15:55","...","0.6","125","7.9","275","2012-01-11 17:47","186.0","...","19","...","...","...","...","43.0","2012-01-06 00:00","88","...","...","...","...","...","...","..."
"02","999.5","...","1006.8","2012-02-18 09:59","990.2","2012-02-06 16:03","14.7","27.4","2012-02-06 13:08","8.0","2012-02-08 21:08","...","0.6","154","10.8","343","2012-02-18 12:10","275.5","...","15","...","...","...","...","104.5","2012-02-24 00:00","90","...","...","...","...","...","...","..."
"03","998.3","...","1005.4","2012-03-31 08:46","989.8","2012-03-06 15:55","16.9","29.5","2012-03-17 12:15","7.7","2012-03-26 06:09","...","0.5","6","8.5","126","2012-03-24 16:41","110.5","...","16","...","...","...","...","19.5","2012-03-13 00:00","84","...","...","...","...","...","...","..."
"04","994.2","...","1001.8","2012-04-01 09:27","986.9","2012-04-25 15:01","21.5","33.1","2012-04-30 13:25","14.0","2012-04-06 06:30","...","0.4","3","10.9","240","2012-04-25 12:00","338.5","...","18","...","...","...","...","117.5","2012-04-26 00:00","85","...","...","...","...","...","...","..."
"05","990.7","...","994.8","2012-05-18 22:34","986.5","2012-05-01 17:07","24.3","33.7","2012-05-01 13:35","16.0","2012-05-06 05:46","...","0.5","7","11.0","313","2012-05-01 12:08","282.5","...","16","...","...","...","...","55.5","2012-05-28 00:00","82","...","...","...","...","...","...","..."
"06","986.4","...","994.2","2012-06-30 23:31","978.2","2012-06-20 19:12","26.1","34.6","2012-06-28 15:52","21.7","2012-06-06 04:22","...","0.4","125","10.2","316","2012-06-11 10:23","361.0","...","19","...","...","...","...","154.0","2012-06-12 00:00","87","...","...","...","...","...","...","..."
"07","988.0","...","994.5","2012-07-01 21:52","975.6","2012-07-31 23:58","27.5","36.7","2012-07-20 13:36","22.2","2012-07-29 05:24","...","0.4","5","7.9","308","2012-07-12 13:59","288.5","...","10","...","...","...","...","114.0","2012-07-31 00:00","82","...","...","...","...","...","...","..."
"08","985.4","...","994.1","2012-08-17 22:55","966.8","2012-08-02 07:05","26.7","35.5","2012-08-08 13:22","22.4","2012-08-22 05:30","...","0.4","1","11.7","240","2012-08-02 20:00","694.5","...","20","...","...","...","...","340.0","2012-08-02 00:00","87","...","...","...","...","...","...","..."
"09","992.8","...","998.1","2012-09-30 08:56","987.0","2012-09-28 15:06","25.3","34.3","2012-09-21 13:43","17.9","2012-09-17 05:08","...","0.3","2","8.4","124","2012-09-24 20:13","259.5","...","12","...","...","...","...","54.0","2012-09-15 00:00","80","...","...","...","...","...","...","..."
"10","996.6","...","1002.0","2012-10-18 09:20","990.5","2012-10-03 16:08","22.5","32.5","2012-10-26 13:43","14.8","2012-10-20 06:13","...","0.3","3","10.0","78","2012-10-07 10:20","52.0","...","4","...","...","...","...","34.5","2012-10-31 00:00","73","...","...","...","...","...","...","..."
"11","998.1","...","1003.7","2012-11-26 20:52","991.6","2012-11-22 14:15","19.8","30.0","2012-11-03 12:55","12.3","2012-11-26 23:21","...","0.3","2","7.1","360","2012-11-06 14:40","301.5","...","14","...","...","...","...","56.5","2012-11-30 00:00","81","...","...","...","...","...","...","..."
"12","1000.4","...","1009.9","2012-12-23 10:41","993.4","2012-12-29 14:33","16.2","27.8","2012-12-29 14:15","6.8","2012-12-31 00:23","...","0.4","197","10.4","138","2012-12-06 06:48","176.0","...","16","...","...","...","...","35.0","2012-12-05 00:00","82","...","...","...","...","...","...","..."
