"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.7","...","1008.5","2019-01-26 09:56","997.9","2019-01-14 14:12","17.0","27.4","2019-01-10 13:43","8.3","2019-01-28 06:54","...","0.2","116","8.6","321","2019-01-01 17:59","38.5","...","9","...","...","...","...","13.0","2019-01-16 00:00","81","...","...","...","...","...","...","..."
"02","1000.9","...","1008.2","2019-02-11 09:33","993.7","2019-02-06 14:45","17.5","30.5","2019-02-07 12:44","10.4","2019-02-02 02:55","...","0.2","135","6.2","292","2019-02-19 01:22","60.5","...","8","...","...","...","...","50.0","2019-02-24 00:00","86","...","...","...","...","...","...","..."
"03","997.8","...","1005.6","2019-03-15 09:09","989.3","2019-03-28 16:13","18.2","31.2","2019-03-21 12:28","10.7","2019-03-07 23:08","...","0.1","128","9.2","127","2019-03-23 21:23","288.5","...","16","...","...","...","...","88.5","2019-03-09 00:00","84","...","...","...","...","...","...","..."
"04","994.5","...","1003.6","2019-04-01 11:14","987.0","2019-04-30 16:12","22.3","33.5","2019-04-25 12:21","14.2","2019-04-01 06:03","...","0.1","295","7.3","134","2019-04-01 11:30","174.0","...","14","...","...","...","...","56.0","2019-04-21 00:00","85","...","...","...","...","...","...","..."
"05","992.1","...","997.8","2019-05-03 10:55","984.5","2019-05-17 16:22","23.0","33.2","2019-05-12 13:53","16.6","2019-05-07 07:21","...","0.1","295","8.2","269","2019-05-07 14:02","434.5","...","19","...","...","...","...","126.5","2019-05-17 00:00","85","...","...","...","...","...","...","..."
"06","988.7","...","994.6","2019-06-05 22:45","981.4","2019-06-14 02:17","26.4","35.9","2019-06-28 13:31","19.9","2019-06-16 04:44","...","0.2","292","10.9","252","2019-06-09 13:33","412.5","...","14","...","...","...","...","109.0","2019-06-14 00:00","85","...","...","...","...","...","...","..."
"07","987.6","...","993.1","2019-07-11 23:03","978.3","2019-07-18 14:58","27.9","36.7","2019-07-17 13:06","22.2","2019-07-23 05:17","...","0.2","284","10.5","349","2019-07-05 14:05","242.5","...","10","...","...","...","...","92.0","2019-07-02 00:00","82","...","...","...","...","...","...","..."
"08","985.4","...","994.3","2019-08-26 20:52","970.2","2019-08-09 16:27","27.7","35.7","2019-08-23 12:32","22.3","2019-08-28 05:26","...","0.2","297","8.9","144","2019-08-24 18:23","400.0","...","17","...","...","...","...","93.5","2019-08-09 00:00","83","...","...","...","...","...","...","..."
"09","991.4","...","1000.5","2019-09-24 09:17","982.2","2019-09-06 15:16","25.6","36.1","2019-09-03 14:16","18.5","2019-09-20 21:28","...","0.1","296","6.9","145","2019-09-24 09:17","222.0","...","14","...","...","...","...","48.5","2019-09-30 00:00","82","...","...","...","...","...","...","..."
"10","996.4","...","1003.7","2019-10-14 21:23","983.9","2019-10-01 00:29","24.9","34.3","2019-10-02 12:07","18.5","2019-10-18 05:33","...","0.1","274","8.4","266","2019-10-16 10:41","35.5","...","1","...","...","...","...","35.5","2019-10-01 00:00","74","...","...","...","...","...","...","..."
"11","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
