"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.2","...","1011.1","2013-01-18 08:44","994.5","2013-01-13 04:24","15.0","25.3","2013-01-21 13:47","7.5","2013-01-15 05:22","...","0.4","149","8.9","323","2013-01-10 21:52","63.0","...","12","...","...","...","...","12.0","2013-01-09 00:00","81","...","...","...","...","...","...","..."
"02","1000.8","...","1006.6","2013-02-22 23:00","993.7","2013-02-18 14:56","17.2","28.9","2013-02-04 12:49","11.3","2013-02-01 05:43","...","0.4","206","8.4","87","2013-02-08 04:27","19.0","...","10","...","...","...","...","10.0","2013-02-27 00:00","83","...","...","...","...","...","...","..."
"03","998.3","...","1006.8","2013-03-03 09:32","989.8","2013-03-18 14:32","18.3","28.6","2013-03-18 12:28","8.4","2013-03-04 02:03","...","0.4","301","9.7","300","2013-03-18 11:19","88.0","...","12","...","...","...","...","21.0","2013-03-31 00:00","79","...","...","...","...","...","...","..."
"04","995.0","...","1002.4","2013-04-12 10:53","983.8","2013-04-06 00:15","19.7","31.2","2013-04-30 12:57","12.4","2013-04-12 18:15","...","0.3","36","9.3","121","2013-04-07 09:05","358.0","...","23","...","...","...","...","41.0","2013-04-11 00:00","84","...","...","...","...","...","...","..."
"05","991.8","...","998.1","2013-05-05 09:14","985.7","2013-05-19 15:50","24.6","35.2","2013-05-28 13:32","12.8","2013-05-01 12:28","...","0.3","137","13.0","270","2013-05-19 08:31","356.0","...","17","...","...","...","...","94.5","2013-05-11 00:00","83","...","...","...","...","...","...","..."
"06","989.1","...","996.0","2013-06-05 10:55","982.7","2013-06-08 15:25","27.6","35.3","2013-06-08 14:08","21.3","2013-06-06 04:23","...","0.4","252","11.5","281","2013-06-24 16:04","101.5","...","10","...","...","...","...","39.5","2013-06-12 00:00","80","...","...","...","...","...","...","..."
"07","990.9","...","996.2","2013-07-08 07:05","947.6","2013-07-13 04:21","27.1","35.3","2013-07-02 13:26","21.4","2013-07-14 04:40","...","0.3","2","46.0","184","2013-07-08 11:31","481.0","...","17","...","...","...","...","167.5","2013-07-13 00:00","82","...","...","...","...","...","...","..."
"08","988.5","...","997.0","2013-08-03 21:55","966.0","2013-08-21 19:57","27.1","36.3","2013-08-09 11:48","21.3","2013-08-01 03:29","...","0.2","305","37.1","288","2013-08-16 08:43","918.5","...","15","...","...","...","...","214.5","2013-08-21 00:00","85","...","...","...","...","...","...","..."
"09","991.3","...","996.9","2013-09-26 10:39","974.2","2013-09-21 15:29","26.2","35.2","2013-09-09 14:23","18.3","2013-09-02 01:37","...","0.4","119","9.1","138","2013-09-21 17:05","105.0","...","10","...","...","...","...","36.5","2013-09-01 00:00","79","...","...","...","...","...","...","..."
"10","995.8","...","1003.8","2013-10-16 09:34","982.5","2013-10-07 03:09","23.0","32.5","2013-10-07 12:54","14.6","2013-10-26 06:02","...","0.5","134","10.3","320","2013-10-12 15:28","127.5","...","11","...","...","...","...","53.0","2013-10-05 00:00","77","...","...","...","...","...","...","..."
"11","999.6","...","1008.7","2013-11-29 07:42","993.4","2013-11-01 14:03","19.9","32.5","2013-11-08 13:35","6.1","2013-11-30 05:44","...","0.4","129","9.7","116","2013-11-07 15:05","48.5","...","12","...","...","...","...","25.5","2013-11-25 00:00","79","...","...","...","...","...","...","..."
"12","1000.9","...","1007.8","2013-12-27 09:28","993.0","2013-12-16 13:29","15.1","28.0","2013-12-08 13:21","7.1","2013-12-01 05:20","...","0.5","31","8.2","311","2013-12-19 21:04","227.5","...","16","...","...","...","...","80.0","2013-12-17 00:00","81","...","...","...","...","...","...","..."
