"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.8","...","1010.7","2017-01-22 09:53","993.2","2017-01-07 14:52","16.8","27.8","2017-01-01 13:49","8.7","2017-01-27 06:10","...","0.5","134","9.7","147","2017-01-26 12:37","32.0","...","6","...","...","...","...","20.0","2017-01-14 00:00","86","...","...","...","...","...","...","..."
"02","1002.4","...","1011.5","2017-02-14 08:54","993.8","2017-02-05 15:46","15.5","27.9","2017-02-20 11:27","8.6","2017-02-10 01:33","...","0.5","166","9.4","321","2017-02-06 11:44","99.5","...","8","...","...","...","...","30.0","2017-02-25 00:00","82","...","...","...","...","...","...","..."
"03","999.1","...","1006.6","2017-03-27 10:08","991.3","2017-03-13 14:55","16.8","28.1","2017-03-29 14:14","7.6","2017-03-27 05:56","...","0.3","131","8.7","133","2017-03-21 11:53","204.5","...","19","...","...","...","...","31.5","2017-03-06 00:00","89","...","...","...","...","...","...","..."
"04","995.8","...","1006.0","2017-04-02 09:25","985.3","2017-04-10 15:30","20.9","33.7","2017-04-10 13:59","8.4","2017-04-02 04:51","...","0.4","288","9.8","293","2017-04-10 13:35","191.5","...","11","...","...","...","...","42.5","2017-04-12 00:00","85","...","...","...","...","...","...","..."
"05","993.2","...","999.6","2017-05-06 09:33","985.6","2017-05-31 16:20","24.2","33.8","2017-05-10 13:26","16.9","2017-05-01 04:35","...","0.3","124","6.6","299","2017-05-31 15:15","114.5","...","14","...","...","...","...","41.5","2017-05-16 00:00","88","...","...","...","...","...","...","..."
"06","990.4","...","995.4","2017-06-28 22:40","982.4","2017-06-02 03:31","26.3","35.1","2017-06-28 14:15","21.5","2017-06-17 20:44","...","0.3","288","10.8","185","2017-06-02 10:12","702.0","...","13","...","...","...","...","164.5","2017-06-03 00:00","91","...","...","...","...","...","...","..."
"07","990.8","...","996.9","2017-07-07 22:57","955.6","2017-07-29 21:33","27.4","36.0","2017-07-28 13:26","21.8","2017-07-05 04:38","...","0.2","117","9.5","274","2017-07-29 19:22","351.0","...","17","...","...","...","...","86.0","2017-07-01 00:00","88","...","...","...","...","...","...","..."
"08","989.7","...","996.8","2017-08-27 22:39","977.0","2017-08-22 03:34","28.5","36.3","2017-08-29 13:07","22.9","2017-08-21 05:46","...","0.3","298","8.1","273","2017-08-09 14:25","4.5","...","6","...","...","...","...","1.0","2017-08-01 00:00","84","...","...","...","...","...","...","..."
"09","992.3","...","997.8","2017-09-29 20:42","983.6","2017-09-01 15:24","27.5","36.4","2017-09-27 12:30","21.4","2017-09-17 06:06","...","0.2","291","6.8","140","2017-09-02 09:08","62.5","...","10","...","...","...","...","21.5","2017-09-02 00:00","85","...","...","...","...","...","...","..."
"10","995.2","...","1006.9","2017-10-30 09:12","983.7","2017-10-14 05:41","24.5","38.4","2017-10-09 12:01","15.5","2017-10-23 05:14","...","0.3","160","9.5","127","2017-10-08 13:35","110.5","...","11","...","...","...","...","40.0","2017-10-13 00:00","83","...","...","...","...","...","...","..."
"11","998.2","...","1005.3","2017-11-24 09:38","991.0","2017-11-17 14:38","21.1","31.6","2017-11-07 12:23","14.9","2017-11-23 07:57","...","0.2","137","8.1","98","2017-11-24 11:08","59.5","...","14","...","...","...","...","12.0","2017-11-20 00:00","91","...","...","...","...","...","...","..."
"12","1001.5","...","1008.2","2017-12-21 08:54","995.8","2017-12-23 14:17","16.4","26.3","2017-12-15 12:21","8.8","2017-12-22 06:23","...","0.3","228","7.3","137","2017-12-25 04:44","44.0","...","9","...","...","...","...","13.0","2017-12-16 00:00","85","...","...","...","...","...","...","..."
