"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","999.9","...","1011.0","2018-01-12 09:03","993.3","2018-01-22 13:10","15.6","26.9","2018-01-02 13:31","5.8","2018-01-14 05:48","...","0.1","132","9.3","125","2018-01-26 11:06","269.0","...","14","...","...","...","...","101.5","2018-01-08 00:00","86","...","...","...","...","...","...","..."
"02","1001.3","...","1009.7","2018-02-05 09:31","994.6","2018-02-20 17:31","14.0","29.3","2018-02-15 11:54","5.9","2018-02-05 06:29","...","0.2","285","8.4","132","2018-02-26 09:04","145.5","...","13","...","...","...","...","37.0","2018-02-22 00:00","90","...","...","...","...","...","...","..."
"03","998.1","...","1006.4","2018-03-08 21:17","990.5","2018-03-04 22:13","18.3","30.7","2018-03-31 13:25","7.7","2018-03-11 06:19","...","0.2","289","8.1","144","2018-03-09 10:28","57.0","...","7","...","...","...","...","27.5","2018-03-08 00:00","82","...","...","...","...","...","...","..."
"04","996.2","...","1007.4","2018-04-07 09:50","989.3","2018-04-23 16:32","21.6","33.0","2018-04-22 12:59","11.6","2018-04-07 01:59","...","0.2","271","7.2","131","2018-04-06 21:45","85.5","...","8","...","...","...","...","25.5","2018-04-15 00:00","83","...","...","...","...","...","...","..."
"05","993.1","...","999.7","2018-05-05 09:14","987.7","2018-05-07 15:59","26.1","37.0","2018-05-27 13:17","18.6","2018-05-11 03:09","...","0.3","143","6.8","289","2018-05-07 16:10","85.0","...","6","...","...","...","...","60.5","2018-05-08 00:00","83","...","...","...","...","...","...","..."
"06","988.2","...","995.3","2018-06-01 22:21","978.3","2018-06-14 16:10","26.7","35.7","2018-06-08 11:55","19.8","2018-06-12 03:07","...","0.2","147","7.5","205","2018-06-21 01:27","179.5","...","15","...","...","...","...","54.0","2018-06-30 00:00","85","...","...","...","...","...","...","..."
"07","986.8","...","991.3","2018-07-09 08:12","975.4","2018-07-11 03:24","27.7","36.6","2018-07-18 14:56","22.2","2018-07-08 05:28","...","0.2","275","9.2","319","2018-07-11 03:09","196.5","...","12","...","...","...","...","54.0","2018-07-11 00:00","83","...","...","...","...","...","...","..."
"08","985.4","...","995.5","2018-08-30 23:04","975.1","2018-08-23 15:46","26.9","36.3","2018-08-02 13:45","22.4","2018-08-30 01:58","...","0.1","276","5.7","317","2018-08-02 11:56","659.5","...","20","...","...","...","...","98.5","2018-08-22 00:00","86","...","...","...","...","...","...","..."
"09","991.4","...","998.1","2018-09-18 00:15","982.2","2018-09-16 00:48","26.1","36.4","2018-09-17 13:09","17.8","2018-09-30 04:11","...","0.1","137","7.5","121","2018-09-16 00:48","182.0","...","13","...","...","...","...","38.0","2018-09-27 00:00","83","...","...","...","...","...","...","..."
"10","997.1","...","1003.1","2018-10-27 09:22","990.1","2018-10-05 14:13","22.2","31.0","2018-10-01 12:45","13.2","2018-10-29 02:34","...","0.2","274","8.7","130","2018-10-31 21:27","84.5","...","10","...","...","...","...","31.0","2018-10-04 00:00","77","...","...","...","...","...","...","..."
"11","999.2","...","1005.2","2018-11-22 10:00","994.5","2018-11-12 14:21","21.1","30.4","2018-11-07 13:01","13.9","2018-11-30 06:09","...","0.2","136","9.6","125","2018-11-01 09:43","47.5","...","12","...","...","...","...","19.5","2018-11-19 00:00","83","...","...","...","...","...","...","..."
"12","1001.3","...","1009.9","2018-12-29 08:17","994.2","2018-12-26 13:03","18.1","29.9","2018-12-06 13:31","8.5","2018-12-19 06:33","...","0.3","240","9.2","120","2018-12-12 16:38","39.0","...","10","...","...","...","...","20.5","2018-12-23 00:00","81","...","...","...","...","...","...","..."
