"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.6","...","1018.1","2016-01-24 09:00","990.7","2016-01-17 14:32","15.0","24.0","2016-01-01 14:42","2.2","2016-01-24 08:03","...","0.4","134","7.8","137","2016-01-25 10:55","367.5","...","21","...","...","...","...","65.5","2016-01-17 00:00","91","...","...","...","...","...","...","..."
"02","1003.8","...","1010.5","2016-02-24 08:15","992.3","2016-02-13 13:48","13.7","30.9","2016-02-13 11:43","3.1","2016-02-09 06:47","...","0.3","130","9.1","150","2016-02-24 18:49","83.0","...","17","...","...","...","...","22.5","2016-02-01 00:00","87","...","...","...","...","...","...","..."
"03","1000.1","...","1008.4","2016-03-27 23:11","991.7","2016-03-08 17:21","15.9","28.7","2016-03-05 14:14","5.8","2016-03-28 05:24","...","0.3","134","8.1","126","2016-03-14 20:21","352.5","...","18","...","...","...","...","50.5","2016-03-18 00:00","88","...","...","...","...","...","...","..."
"04","994.5","...","1001.9","2016-04-19 09:22","984.5","2016-04-13 14:57","22.5","34.0","2016-04-21 12:51","15.5","2016-04-19 05:51","...","0.3","297","13.1","294","2016-04-13 10:35","216.0","...","14","...","...","...","...","52.5","2016-04-13 00:00","91","...","...","...","...","...","...","..."
"05","992.8","...","997.7","2016-05-14 10:09","987.4","2016-05-10 16:12","25.3","34.9","2016-05-28 11:41","17.5","2016-05-16 23:50","...","0.3","299","8.7","326","2016-05-10 16:49","242.5","...","15","...","...","...","...","74.0","2016-05-11 00:00","88","...","...","...","...","...","...","..."
"06","990.8","...","997.9","2016-06-29 22:59","984.2","2016-06-01 16:46","27.3","36.2","2016-06-01 15:17","22.0","2016-06-08 14:33","...","0.1","279","9.0","279","2016-06-13 11:58","294.5","...","19","...","...","...","...","53.5","2016-06-28 00:00","87","...","...","...","...","...","...","..."
"07","989.5","...","995.3","2016-07-21 08:21","972.2","2016-07-08 12:40","28.2","37.5","2016-07-28 12:31","22.5","2016-07-20 05:18","...","0.3","143","10.4","199","2016-07-18 14:17","63.0","...","10","...","...","...","...","17.0","2016-07-04 00:00","82","...","...","...","...","...","...","..."
"08","986.7","...","993.4","2016-08-03 22:01","981.6","2016-08-01 11:13","27.5","37.3","2016-08-01 11:40","22.0","2016-08-31 05:38","...","0.1","39","5.5","4","2016-08-24 15:39","166.0","...","16","...","...","...","...","60.0","2016-08-11 00:00","85","...","...","...","...","...","...","..."
"09","988.9","...","997.6","2016-09-21 08:09","953.8","2016-09-27 14:45","26.4","34.9","2016-09-13 13:16","21.4","2016-09-01 05:02","...","0.4","121","16.6","287","2016-09-27 13:58","316.0","...","16","...","...","...","...","104.5","2016-09-27 00:00","87","...","...","...","...","...","...","..."
"10","993.4","...","1003.4","2016-10-30 08:50","983.2","2016-10-20 14:50","25.8","37.5","2016-10-20 12:02","20.2","2016-10-31 05:14","...","0.5","46","9.2","253","2016-10-30 09:10","49.5","...","10","...","...","...","...","12.0","2016-10-08 00:00","86","...","...","...","...","...","...","..."
"11","999.0","...","1004.7","2016-11-09 08:15","993.4","2016-11-05 13:27","21.2","33.2","2016-11-25 11:26","16.4","2016-11-06 06:27","...","0.4","90","10.3","130","2016-11-28 05:18","127.5","...","12","...","...","...","...","43.5","2016-11-23 00:00","87","...","...","...","...","...","...","..."
"12","1000.9","...","1009.0","2016-12-16 09:03","993.7","2016-12-09 14:56","18.4","29.8","2016-12-21 12:27","11.2","2016-12-15 18:49","...","0.5","177","10.5","135","2016-12-29 17:13","15.5","...","4","...","...","...","...","9.0","2016-12-22 00:00","84","...","...","...","...","...","...","..."
