"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.0","...","1011.4","2014-01-18 20:54","994.7","2014-01-03 14:26","14.6","26.1","2014-01-31 12:46","4.8","2014-01-23 06:22","...","0.4","209","9.4","134","2014-01-15 12:54","20.5","...","7","...","...","...","...","8.0","2014-01-08 00:00","75","...","...","...","...","...","...","..."
"02","999.9","...","1009.6","2014-02-20 09:23","990.1","2014-02-02 15:39","14.8","27.9","2014-02-28 12:53","6.3","2014-02-11 09:33","...","0.4","116","8.3","138","2014-02-04 10:12","216.5","...","14","...","...","...","...","90.5","2014-02-09 00:00","84","...","...","...","...","...","...","..."
"03","999.8","...","1006.4","2014-03-14 21:05","988.9","2014-03-29 14:23","17.3","31.7","2014-03-29 12:58","10.4","2014-03-21 06:35","...","0.4","293","9.7","313","2014-03-06 14:33","196.0","...","17","...","...","...","...","60.5","2014-03-29 00:00","82","...","...","...","...","...","...","..."
"04","996.1","...","1001.5","2014-04-07 09:52","991.8","2014-04-12 15:53","21.3","30.6","2014-04-13 15:00","12.8","2014-04-05 04:49","...","0.3","138","8.1","147","2014-04-04 12:05","81.0","...","10","...","...","...","...","31.0","2014-04-24 00:00","82","...","...","...","...","...","...","..."
"05","992.8","...","1000.2","2014-05-06 07:45","984.4","2014-05-15 04:07","24.0","34.3","2014-05-26 13:21","14.2","2014-05-06 01:40","...","0.3","294","14.2","317","2014-05-14 11:59","427.5","...","20","...","...","...","...","99.0","2014-05-15 00:00","88","...","...","...","...","...","...","..."
"06","987.5","...","993.6","2014-06-30 21:05","981.8","2014-06-10 03:43","26.9","35.2","2014-06-28 13:31","22.0","2014-06-13 05:21","...","0.3","224","10.3","329","2014-06-17 13:09","178.5","...","17","...","...","...","...","37.5","2014-06-06 00:00","88","...","...","...","...","...","...","..."
"07","988.1","...","994.8","2014-07-26 08:56","964.1","2014-07-23 03:35","28.2","37.8","2014-07-21 15:10","22.8","2014-07-26 04:24","...","0.3","232","10.0","166","2014-07-23 01:59","238.5","...","12","...","...","...","...","60.5","2014-07-31 00:00","84","...","...","...","...","...","...","..."
"08","989.9","...","997.5","2014-08-27 23:57","978.7","2014-08-01 15:40","28.0","35.5","2014-08-02 12:15","22.3","2014-08-18 18:31","...","0.3","290","10.4","315","2014-08-14 13:33","105.5","...","9","...","...","...","...","58.5","2014-08-18 00:00","85","...","...","...","...","...","...","..."
"09","991.1","...","997.7","2014-09-27 08:20","978.1","2014-09-21 15:03","27.8","38.7","2014-09-15 12:20","20.8","2014-09-30 05:40","...","0.3","6","9.2","309","2014-09-22 01:03","159.5","...","8","...","...","...","...","103.0","2014-09-22 00:00","83","...","...","...","...","...","...","..."
"10","996.9","...","1002.0","2014-10-16 08:34","989.8","2014-10-10 15:04","23.3","33.2","2014-10-21 13:58","15.7","2014-10-16 04:52","...","0.5","7","10.0","142","2014-10-08 13:07","81.5","...","4","...","...","...","...","32.0","2014-10-10 00:00","78","...","...","...","...","...","...","..."
"11","999.0","...","1004.7","2014-11-17 22:14","993.0","2014-11-01 14:51","20.7","30.9","2014-11-01 12:21","14.6","2014-11-21 05:22","...","0.5","120","10.2","109","2014-11-14 14:50","12.5","...","4","...","...","...","...","8.5","2014-11-02 00:00","83","...","...","...","...","...","...","..."
"12","1003.5","...","1011.8","2014-12-17 09:19","996.7","2014-12-03 18:05","14.9","25.5","2014-12-07 14:07","6.1","2014-12-31 07:06","...","0.6","137","11.3","117","2014-12-08 13:18","76.5","...","10","...","...","...","...","34.5","2014-12-04 00:00","80","...","...","...","...","...","...","..."
