Actual,ID,Predicted
29,1,22.445106152500365
27,2,20.94484185831271
9,3,19.444577564125055
13,4,17.944313269937396
13,5,16.44404897574974
15,6,14.943784681562086
12,7,11.943256093186774
8,8,10.442991798999117
9,9,8.942727504811462
5,10,25.44563474087568
21,11,8.942727504811462
15,12,25.44563474087568
11,13,23.945370446688024
21,14,25.44563474087568
20,15,23.945370446688024
18,16,22.445106152500365
21,17,20.94484185831271
19,18,8.942727504811462
19,19,10.442991798999117
19,20,11.943256093186774
8,21,14.943784681562086
18,22,16.44404897574974
30,23,16.44404897574974
36,24,14.943784681562086
32,25,13.44352038737443
32,26,11.943256093186774
32,27,10.442991798999117
28,28,8.942727504811462
28,29,25.44563474087568
28,30,23.945370446688024
22,31,22.445106152500365
26,32,20.94484185831271
21,33,19.444577564125055
17,34,17.944313269937396
17,35,16.44404897574974
8,36,10.442991798999117
16,37,14.943784681562086
15,38,13.44352038737443
11,39,11.943256093186774
29,40,19.444577564125055
23,41,17.944313269937396
23,42,16.44404897574974
20,43,14.943784681562086
17,44,11.943256093186774
18,45,13.44352038737443
29,46,16.44404897574974
28,47,14.943784681562086
31,48,17.944313269937396
28,49,19.444577564125055
23,50,20.94484185831271
23,51,11.943256093186774
22,52,10.442991798999117
22,53,8.942727504811462
21,54,22.445106152500365
22,55,23.945370446688024
22,56,25.44563474087568
12,57,16.44404897574974
17,58,17.944313269937396
24,59,19.444577564125055
21,60,20.94484185831271
26,61,22.445106152500365
24,62,23.945370446688024
20,63,25.44563474087568
23,64,8.942727504811462
27,65,10.442991798999117
28,66,11.943256093186774
30,67,13.44352038737443
35,68,14.943784681562086
43,69,16.44404897574974
37,70,17.944313269937396
22,71,17.944313269937396
25,72,19.444577564125055
20,73,16.44404897574974
15,74,14.943784681562086
17,75,13.44352038737443
15,76,11.943256093186774
14,77,10.442991798999117
19,78,8.942727504811462
17,79,25.44563474087568
15,80,23.945370446688024
9,81,22.445106152500365
32,82,25.44563474087568
17,83,23.945370446688024
23,84,22.445106152500365
25,85,20.94484185831271
31,86,8.942727504811462
29,87,10.442991798999117
31,88,17.944313269937396
22,89,16.44404897574974
14,90,23.945370446688024
8,91,22.445106152500365
16,92,11.943256093186774
21,93,13.44352038737443
20,94,14.943784681562086
17,95,10.442991798999117
21,96,8.942727504811462
16,97,25.44563474087568
30,98,25.44563474087568
36,99,23.945370446688024
29,100,22.445106152500365
25,101,20.94484185831271
21,102,10.442991798999117
21,103,8.942727504811462
17,104,23.945370446688024
22,105,25.44563474087568
25,106,20.94484185831271
25,107,19.444577564125055
26,108,17.944313269937396
28,109,14.943784681562086
26,110,16.44404897574974
10,111,17.944313269937396
18,112,19.444577564125055
19,113,22.445106152500365
23,114,20.94484185831271
25,115,23.945370446688024
24,116,25.44563474087568
