"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.9","...","1023.6","2017-01-22 10:23","1007.3","2017-01-08 15:12","19.3","29.1","2017-01-29 14:52","12.6","2017-01-14 08:24","...","2.0","16","14.6","43","2017-01-30 15:02","3.0","...","2","...","...","...","...","2.5","2017-01-14 00:00","80","...","...","...","...","...","...","..."
"02","1016.3","...","1026.4","2017-02-14 09:53","1007.8","2017-02-05 16:51","18.1","29.6","2017-02-20 11:53","10.5","2017-02-10 03:21","...","2.0","7","13.9","43","2017-02-23 16:02","12.5","...","4","...","...","...","...","9.5","2017-02-22 00:00","75","...","...","...","...","...","...","..."
"03","1013.2","...","1022.1","2017-03-27 09:33","1006.1","2017-03-13 15:01","20.6","30.5","2017-03-31 11:12","13.5","2017-03-26 05:43","...","1.7","8","16.5","19","2017-03-31 22:43","26.0","...","7","...","...","...","...","10.0","2017-03-06 00:00","77","...","...","...","...","...","...","..."
"04","1010.7","...","1020.4","2017-04-03 09:33","1002.4","2017-04-10 16:31","24.4","34.9","2017-04-17 12:44","14.6","2017-04-01 03:08","...","1.4","3","14.0","18","2017-04-01 12:25","62.5","...","8","...","...","...","...","20.5","2017-04-12 00:00","74","...","...","...","...","...","...","..."
"05","1007.8","...","1014.7","2017-05-06 10:03","1001.6","2017-05-31 18:51","27.9","34.4","2017-05-12 13:19","21.5","2017-05-16 18:11","...","1.2","23","9.4","60","2017-05-16 20:56","73.0","...","8","...","...","...","...","25.5","2017-05-16 00:00","79","...","...","...","...","...","...","..."
"06","1005.7","...","1010.1","2017-06-08 10:22","999.6","2017-06-03 17:39","30.0","38.3","2017-06-13 14:12","24.1","2017-06-03 02:26","...","1.5","167","18.1","239","2017-06-02 19:37","584.5","...","13","...","...","...","...","109.0","2017-06-15 00:00","86","...","...","...","...","...","...","..."
"07","1005.6","...","1011.7","2017-07-18 21:03","988.3","2017-07-29 21:12","29.9","36.4","2017-07-23 17:02","24.1","2017-07-31 05:19","...","1.2","86","13.7","195","2017-07-31 04:41","172.0","...","10","...","...","...","...","106.0","2017-07-31 00:00","82","...","...","...","...","...","...","..."
"08","1004.6","...","1011.7","2017-08-27 23:03","991.4","2017-08-22 03:11","29.6","36.4","2017-08-07 10:47","24.7","2017-08-28 02:35","...","1.3","1","11.0","205","2017-08-01 15:37","86.0","...","7","...","...","...","...","51.0","2017-08-10 00:00","82","...","...","...","...","...","...","..."
"09","1006.6","...","1012.1","2017-09-29 23:24","998.8","2017-09-01 13:31","29.3","35.1","2017-09-07 13:23","24.7","2017-09-02 18:52","...","1.1","2","11.1","20","2017-09-29 13:57","25.0","...","3","...","...","...","...","13.5","2017-09-02 00:00","76","...","...","...","...","...","...","..."
"10","1008.2","...","1017.8","2017-10-30 08:32","996.6","2017-10-13 18:03","26.2","34.2","2017-10-02 14:14","17.6","2017-10-31 04:11","...","1.9","3","14.1","354","2017-10-21 11:23","50.5","...","3","...","...","...","...","22.0","2017-10-15 00:00","75","...","...","...","...","...","...","..."
"11","1012.2","...","1019.3","2017-11-24 09:22","1005.5","2017-11-17 14:02","22.5","30.3","2017-11-17 13:40","16.8","2017-11-23 19:44","...","1.9","15","13.8","3","2017-11-04 11:20","12.5","...","4","...","...","...","...","8.0","2017-11-12 00:00","83","...","...","...","...","...","...","..."
"12","1015.2","...","1020.4","2017-12-19 10:14","1009.6","2017-12-03 14:52","18.1","24.7","2017-12-30 11:21","12.5","2017-12-10 06:21","...","2.0","23","16.5","46","2017-12-16 17:16","5.0","...","2","...","...","...","...","3.5","2017-12-07 00:00","77","...","...","...","...","...","...","..."
