"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.8","...","1022.0","2012-01-04 09:12","1004.4","2012-01-15 15:16","16.7","24.3","2012-01-19 11:50","11.3","2012-01-05 03:16","...","1.3","20","11.4","353","2012-01-11 16:38","38.0","...","9","...","...","...","...","14.5","2012-01-16 00:00","85","...","...","...","...","...","...","..."
"02","1013.2","...","1019.6","2012-02-03 09:48","1005.0","2012-02-06 16:02","15.5","28.1","2012-02-23 10:21","9.4","2012-02-08 23:19","...","1.5","16","12.8","349","2012-02-02 13:17","50.0","...","7","...","...","...","...","17.0","2012-02-28 00:00","84","...","...","...","...","...","...","..."
"03","1012.3","...","1019.3","2012-03-27 09:49","1004.8","2012-03-05 14:06","19.2","31.5","2012-03-23 11:16","11.2","2012-03-10 05:34","...","1.4","11","10.9","3","2012-03-31 16:36","15.5","...","6","...","...","...","...","6.5","2012-03-12 00:00","77","...","...","...","...","...","...","..."
"04","1008.6","...","1016.1","2012-04-01 10:01","1002.9","2012-04-21 04:55","25.2","34.2","2012-04-24 12:01","16.7","2012-04-01 03:46","...","0.9","11","9.8","222","2012-04-24 13:05","261.0","...","12","...","...","...","...","77.5","2012-04-30 00:00","78","...","...","...","...","...","...","..."
"05","1004.6","...","1008.9","2012-05-18 21:32","1000.9","2012-05-20 02:40","27.4","33.9","2012-05-09 12:17","22.0","2012-05-05 03:32","...","1.1","27","12.1","248","2012-05-16 11:58","232.0","...","10","...","...","...","...","87.5","2012-05-17 00:00","77","...","...","...","...","...","...","..."
"06","1000.3","...","1007.7","2012-06-30 23:55","989.3","2012-06-20 16:43","28.5","34.5","2012-06-08 15:47","23.7","2012-06-21 04:31","...","1.4","185","15.5","189","2012-06-20 16:29","307.5","...","14","...","...","...","...","79.5","2012-06-20 00:00","84","...","...","...","...","...","...","..."
"07","1002.1","...","1008.3","2012-07-01 21:48","986.5","2012-07-31 16:42","30.0","35.0","2012-07-15 12:48","24.5","2012-07-24 18:55","...","1.0","138","9.4","38","2012-07-31 16:42","159.0","...","8","...","...","...","...","38.0","2012-07-31 00:00","77","...","...","...","...","...","...","..."
"08","999.8","...","1008.0","2012-08-31 10:01","982.5","2012-08-02 02:50","29.1","34.9","2012-08-13 12:48","23.4","2012-08-17 16:54","...","1.3","1","17.7","29","2012-08-01 15:52","340.0","...","15","...","...","...","...","211.0","2012-08-02 00:00","82","...","...","...","...","...","...","..."
"09","1006.9","...","1012.1","2012-09-06 08:01","998.8","2012-09-28 02:57","28.2","33.6","2012-09-22 11:35","21.4","2012-09-30 23:50","...","1.1","2","16.0","13","2012-09-28 11:11","0.0","...","0","...","...","...","...","0.0","2012-09-01 00:00","73","...","...","...","...","...","...","..."
"10","1010.5","...","1016.7","2012-10-20 09:31","1004.5","2012-10-03 15:16","24.9","31.0","2012-10-27 12:33","19.8","2012-10-19 02:06","...","1.7","3","12.4","55","2012-10-17 12:06","0.0","...","0","...","...","...","...","0.0","2012-10-07 00:00","71","...","...","...","...","...","...","..."
"11","1012.5","...","1016.8","2012-11-27 09:49","1007.4","2012-11-22 14:07","22.5","32.1","2012-11-10 14:17","14.6","2012-11-27 02:47","...","1.2","5","8.6","21","2012-11-26 17:18","109.0","...","9","...","...","...","...","35.0","2012-11-23 00:00","78","...","...","...","...","...","...","..."
"12","1015.0","...","1021.0","2012-12-24 09:04","1009.2","2012-12-02 14:17","18.7","28.6","2012-12-15 12:48","9.4","2012-12-31 03:40","...","1.3","2","9.7","13","2012-12-30 02:11","50.0","...","11","...","...","...","...","25.0","2012-12-05 00:00","79","...","...","...","...","...","...","..."
