"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.4","...","1022.2","2015-01-02 09:26","1009.4","2015-01-06 14:21","16.4","24.6","2015-01-05 15:41","11.1","2015-01-02 06:52","...","1.9","10","15.1","16","2015-01-08 02:04","10.5","...","4","...","...","...","...","7.5","2015-01-14 00:00","71","...","...","...","...","...","...","..."
"02","1015.5","...","1022.9","2015-02-01 09:11","1009.6","2015-02-24 16:24","17.4","26.4","2015-02-25 16:11","10.6","2015-02-09 07:01","...","1.8","3","13.6","360","2015-02-09 16:45","13.0","...","2","...","...","...","...","9.0","2015-02-16 00:00","76","...","...","...","...","...","...","..."
"03","1014.3","...","1021.4","2015-03-26 10:02","1006.9","2015-03-18 15:09","20.1","31.0","2015-03-19 10:34","12.8","2015-03-11 02:54","...","1.6","6","14.1","7","2015-03-01 15:07","5.5","...","5","...","...","...","...","2.0","2015-03-11 00:00","79","...","...","...","...","...","...","..."
"04","1011.4","...","1017.5","2015-04-11 21:16","1004.5","2015-04-03 03:41","23.6","32.5","2015-04-19 13:42","13.9","2015-04-15 04:16","...","1.7","11","12.9","7","2015-04-07 11:56","37.0","...","4","...","...","...","...","18.0","2015-04-21 00:00","76","...","...","...","...","...","...","..."
"05","1006.9","...","1011.8","2015-05-15 09:22","1001.8","2015-05-28 15:41","26.9","33.0","2015-05-29 15:13","21.5","2015-05-05 03:45","...","1.4","4","8.8","247","2015-05-18 12:25","499.0","...","15","...","...","...","...","124.0","2015-05-20 00:00","85","...","...","...","...","...","...","..."
"06","1005.7","...","1009.5","2015-06-03 08:51","1001.4","2015-06-18 00:01","30.7","36.6","2015-06-27 12:31","24.3","2015-06-01 01:02","...","1.5","7","10.3","268","2015-06-26 15:22","32.5","...","6","...","...","...","...","17.0","2015-06-06 00:00","79","...","...","...","...","...","...","..."
"07","1002.4","...","1011.2","2015-07-27 08:33","992.5","2015-07-10 17:01","30.5","36.3","2015-07-21 12:52","25.7","2015-07-22 07:21","...","1.7","205","16.6","11","2015-07-10 11:08","73.0","...","11","...","...","...","...","30.0","2015-07-19 00:00","79","...","...","...","...","...","...","..."
"08","1002.5","...","1010.8","2015-08-02 08:02","958.2","2015-08-08 06:12","29.6","36.6","2015-08-10 14:13","24.3","2015-08-16 12:16","...","1.6","3","32.5","347","2015-08-08 05:17","362.5","...","13","...","...","...","...","80.0","2015-08-08 00:00","83","...","...","...","...","...","...","..."
"09","1006.7","...","1013.1","2015-09-17 10:11","975.3","2015-09-28 20:22","29.1","35.4","2015-09-06 14:54","24.0","2015-09-19 04:52","...","1.6","10","28.9","352","2015-09-28 19:48","187.0","...","6","...","...","...","...","93.0","2015-09-07 00:00","78","...","...","...","...","...","...","..."
"10","1010.4","...","1018.5","2015-10-31 08:31","999.8","2015-10-20 02:21","27.2","34.4","2015-10-01 10:31","21.4","2015-10-14 03:12","...","1.6","10","12.8","4","2015-10-16 15:39","18.0","...","3","...","...","...","...","17.0","2015-10-09 00:00","78","...","...","...","...","...","...","..."
"11","1014.4","...","1022.1","2015-11-28 09:23","1010.2","2015-11-25 14:15","24.7","33.5","2015-11-18 11:24","13.2","2015-11-27 04:51","...","1.6","4","15.3","53","2015-11-26 01:20","1.0","...","1","...","...","...","...","1.0","2015-11-21 00:00","79","...","...","...","...","...","...","..."
"12","1017.1","...","1024.7","2015-12-28 09:21","1008.3","2015-12-10 02:01","19.3","28.3","2015-12-23 14:22","11.0","2015-12-17 18:31","...","2.1","9","19.3","111","2015-12-10 05:30","54.0","...","4","...","...","...","...","31.5","2015-12-10 00:00","79","...","...","...","...","...","...","..."
