"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.7","...","1023.1","2014-01-18 20:35","1009.3","2014-01-03 14:36","16.7","26.2","2014-01-03 12:32","8.9","2014-01-23 06:32","...","1.8","5","17.6","20","2014-01-18 15:31","0.5","...","1","...","...","...","...","0.5","2014-01-03 00:00","70","...","...","...","...","...","...","..."
"02","1013.8","...","1022.9","2014-02-21 09:19","1004.9","2014-02-03 14:27","17.0","27.4","2014-02-17 11:20","8.7","2014-02-21 06:10","...","1.6","2","15.4","31","2014-02-10 02:21","27.5","...","11","...","...","...","...","7.0","2014-02-09 00:00","80","...","...","...","...","...","...","..."
"03","1014.1","...","1020.6","2014-03-16 10:16","1004.8","2014-03-31 16:21","19.8","32.4","2014-03-29 13:16","13.0","2014-03-21 09:18","...","1.2","2","11.8","360","2014-03-09 08:11","45.0","...","6","...","...","...","...","19.5","2014-03-12 00:00","79","...","...","...","...","...","...","..."
"04","1010.6","...","1016.3","2014-04-07 08:51","1006.7","2014-04-01 14:17","23.9","30.9","2014-04-16 14:02","18.1","2014-04-05 05:51","...","1.2","7","12.3","346","2014-04-14 14:58","13.0","...","5","...","...","...","...","4.0","2014-04-26 00:00","78","...","...","...","...","...","...","..."
"05","1007.8","...","1014.4","2014-05-06 08:48","1002.1","2014-05-15 03:49","26.4","34.4","2014-05-12 11:06","16.8","2014-05-06 03:55","...","1.1","1","9.8","21","2014-05-05 12:49","460.0","...","18","...","...","...","...","98.0","2014-05-19 00:00","87","...","...","...","...","...","...","..."
"06","1002.3","...","1008.4","2014-06-30 21:18","995.5","2014-06-10 03:21","29.2","35.6","2014-06-21 13:46","23.7","2014-06-06 05:53","...","1.4","168","9.3","6","2014-06-09 12:58","151.0","...","11","...","...","...","...","62.0","2014-06-03 00:00","82","...","...","...","...","...","...","..."
"07","1002.9","...","1009.6","2014-07-26 10:53","977.5","2014-07-23 01:35","31.0","35.7","2014-07-09 14:34","24.6","2014-07-23 20:17","...","1.4","10","14.9","10","2014-07-23 02:04","196.5","...","7","...","...","...","...","177.0","2014-07-23 00:00","75","...","...","...","...","...","...","..."
"08","1005.1","...","1011.6","2014-08-27 23:32","995.1","2014-08-01 15:40","29.9","36.4","2014-08-01 12:46","25.3","2014-08-20 04:02","...","1.3","180","8.5","188","2014-08-14 09:19","97.5","...","10","...","...","...","...","40.0","2014-08-05 00:00","79","...","...","...","...","...","...","..."
"09","1005.9","...","1012.2","2014-09-27 09:05","992.6","2014-09-21 12:52","30.2","36.4","2014-09-15 11:20","24.9","2014-09-20 22:18","...","1.2","4","11.3","19","2014-09-21 08:30","22.5","...","5","...","...","...","...","13.0","2014-09-20 00:00","77","...","...","...","...","...","...","..."
"10","1010.7","...","1016.8","2014-10-16 09:21","1001.8","2014-10-10 14:09","25.7","33.0","2014-10-01 11:35","19.0","2014-10-16 04:59","...","1.7","8","15.0","1","2014-10-04 13:39","0.0","...","0","...","...","...","...","0.0","2014-10-19 00:00","70","...","...","...","...","...","...","..."
"11","1012.7","...","1017.6","2014-11-09 09:15","1008.1","2014-11-30 14:41","22.6","30.9","2014-11-01 13:32","17.9","2014-11-18 00:43","...","1.5","41","10.5","3","2014-11-02 12:23","0.5","...","1","...","...","...","...","0.5","2014-11-15 00:00","76","...","...","...","...","...","...","..."
"12","1016.6","...","1023.5","2014-12-18 09:44","1008.8","2014-12-01 13:12","16.6","25.0","2014-12-01 02:14","9.5","2014-12-23 02:57","...","1.8","24","15.6","351","2014-12-16 09:37","21.0","...","8","...","...","...","...","6.0","2014-12-04 00:00","71","...","...","...","...","...","...","..."
