"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.8","...","1023.8","2018-01-13 09:13","1006.7","2018-01-22 13:21","16.7","24.1","2018-01-03 13:07","7.9","2018-01-13 05:51","...","1.7","11","11.9","360","2018-01-31 20:43","76.5","...","12","...","...","...","...","20.5","2018-01-08 00:00","85","...","...","...","...","...","...","..."
"02","1015.1","...","1022.8","2018-02-05 09:42","1008.7","2018-02-21 15:04","15.6","29.8","2018-02-19 14:52","7.7","2018-02-05 07:31","...","1.8","9","13.9","22","2018-02-11 04:11","16.5","...","5","...","...","...","...","11.0","2018-02-22 00:00","81","...","...","...","...","...","...","..."
"03","1012.2","...","1019.6","2018-03-11 09:15","1005.4","2018-03-19 14:42","20.2","29.6","2018-03-03 14:43","11.4","2018-03-08 22:34","...","1.4","18","14.0","337","2018-03-09 00:10","28.0","...","3","...","...","...","...","21.0","2018-03-15 00:00","78","...","...","...","...","...","...","..."
"04","1010.1","...","1018.7","2018-04-07 20:52","1003.5","2018-04-23 15:02","24.0","31.2","2018-04-23 13:07","14.9","2018-04-08 05:13","...","1.2","2","17.4","50","2018-04-06 23:39","10.0","...","2","...","...","...","...","6.5","2018-04-17 00:00","76","...","...","...","...","...","...","..."
"05","1007.2","...","1014.1","2018-05-05 08:54","1002.7","2018-05-25 15:33","27.7","34.6","2018-05-27 12:03","20.2","2018-05-09 07:28","...","1.4","13","10.5","1","2018-05-03 12:37","52.0","...","3","...","...","...","...","40.5","2018-05-08 00:00","81","...","...","...","...","...","...","..."
"06","1002.0","...","1008.7","2018-06-25 21:52","990.7","2018-06-14 15:45","28.2","33.6","2018-06-05 13:24","23.3","2018-06-02 04:04","...","1.5","4","13.8","6","2018-06-15 11:42","188.5","...","10","...","...","...","...","47.5","2018-06-11 00:00","85","...","...","...","...","...","...","..."
"07","1000.8","...","1005.5","2018-07-27 22:09","993.1","2018-07-11 04:04","29.1","34.8","2018-07-18 10:22","22.6","2018-07-02 14:30","...","1.3","169","12.4","156","2018-07-02 12:02","474.0","...","10","...","...","...","...","379.5","2018-07-02 00:00","87","...","...","...","...","...","...","..."
"08","999.2","...","1009.8","2018-08-31 09:59","989.8","2018-08-23 13:53","28.4","34.7","2018-08-13 11:51","23.2","2018-08-23 21:41","...","1.4","3","13.9","181","2018-08-29 14:24","502.0","...","21","...","...","...","...","133.5","2018-08-24 00:00","89","...","...","...","...","...","...","..."
"09","1004.6","...","1012.2","2018-09-17 23:12","994.5","2018-09-15 14:57","28.1","34.7","2018-09-04 12:43","22.9","2018-09-30 22:45","...","1.5","11","13.8","2","2018-09-27 15:14","1.0","...","2","...","...","...","...","0.5","2018-09-16 00:00","85","...","...","...","...","...","...","..."
"10","1010.3","...","1016.8","2018-10-20 09:01","1003.9","2018-10-05 03:45","24.2","30.8","2018-10-01 13:13","17.0","2018-10-29 06:04","...","1.8","5","12.6","351","2018-10-27 15:09","9.5","...","3","...","...","...","...","6.0","2018-10-13 00:00","78","...","...","...","...","...","...","..."
"11","1012.9","...","1018.5","2018-11-29 09:03","1006.4","2018-11-02 03:33","22.8","29.6","2018-11-06 11:01","17.0","2018-11-24 02:26","...","1.5","27","12.9","50","2018-11-22 12:22","15.0","...","5","...","...","...","...","5.0","2018-11-28 00:00","90","...","...","...","...","...","...","..."
"12","1014.8","...","1022.1","2018-12-31 08:51","1007.4","2018-12-26 13:29","20.0","29.7","2018-12-04 13:21","13.4","2018-12-29 06:44","...","1.9","16","13.5","348","2018-12-27 14:35","2.5","...","1","...","...","...","...","2.5","2018-12-23 00:00","85","...","...","...","...","...","...","..."
