"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.9","...","1024.5","2013-01-18 08:36","1009.0","2013-01-13 14:01","16.7","22.6","2013-01-21 13:46","10.4","2013-01-01 01:01","...","1.6","1","10.1","0","2013-01-17 11:36","9.0","...","3","...","...","...","...","7.0","2013-01-13 00:00","81","...","...","...","...","...","...","..."
"02","1015.7","...","1020.6","2013-02-22 22:02","1009.4","2013-02-18 15:31","18.4","27.1","2013-02-26 14:46","13.5","2013-02-09 02:39","...","1.5","356","9.6","0","2013-02-08 03:30","6.5","...","1","...","...","...","...","6.5","2013-02-03 00:00","84","...","...","...","...","...","...","..."
"03","1013.3","...","1021.3","2013-03-05 10:06","1005.2","2013-03-24 03:16","21.0","29.0","2013-03-01 12:47","12.6","2013-03-03 22:51","...","1.3","1","9.7","0","2013-03-14 12:50","43.0","...","8","...","...","...","...","25.5","2013-03-28 00:00","77","...","...","...","...","...","...","..."
"04","1010.1","...","1017.2","2013-04-12 10:02","999.6","2013-04-06 01:04","22.4","31.5","2013-04-30 12:17","15.5","2013-04-07 06:04","...","1.0","1","7.2","333","2013-04-02 10:39","208.5","...","20","...","...","...","...","107.0","2013-04-05 00:00","84","...","...","...","...","...","...","..."
"05","1007.3","...","1013.7","2013-05-05 10:04","1002.7","2013-05-01 02:48","26.9","34.4","2013-05-27 14:04","19.2","2013-05-01 18:26","...","1.1","1","8.6","239","2013-05-17 01:54","254.5","...","13","...","...","...","...","52.0","2013-05-21 00:00","83","...","...","...","...","...","...","..."
"06","1004.8","...","1011.1","2013-06-05 11:31","998.2","2013-06-19 16:02","29.3","35.2","2013-06-23 11:01","24.8","2013-06-24 06:32","...","1.1","2","9.2","239","2013-06-24 15:06","105.5","...","10","...","...","...","...","41.0","2013-06-12 00:00","80","...","...","...","...","...","...","..."
"07","1006.1","...","1011.1","2013-07-08 08:35","984.7","2013-07-13 05:39","29.6","35.3","2013-07-05 11:03","24.4","2013-07-15 18:46","...","1.2","2","15.5","305","2013-07-13 04:37","346.0","...","9","...","...","...","...","259.5","2013-07-13 00:00","76","...","...","...","...","...","...","..."
"08","1003.2","...","1012.1","2013-08-03 09:08","984.4","2013-08-21 19:13","29.4","36.6","2013-08-13 12:23","23.0","2013-08-30 05:58","...","1.3","6","15.1","327","2013-08-21 16:44","773.0","...","12","...","...","...","...","157.0","2013-08-22 00:00","81","...","...","...","...","...","...","..."
"09","1005.2","...","1011.3","2013-09-06 09:33","983.9","2013-09-21 16:50","28.5","34.8","2013-09-18 12:50","22.7","2013-09-02 05:46","...","1.2","2","9.4","352","2013-09-26 15:00","15.5","...","6","...","...","...","...","11.0","2013-09-01 00:00","77","...","...","...","...","...","...","..."
"10","1009.3","...","1017.5","2013-10-17 09:16","997.7","2013-10-07 03:17","25.3","33.4","2013-10-07 11:32","17.0","2013-10-27 05:31","...","1.6","19","11.8","7","2013-10-22 13:50","0.0","...","0","...","...","...","...","0.0","2013-10-20 00:00","70","...","...","...","...","...","...","..."
"11","1013.7","...","1021.7","2013-11-29 09:04","1008.1","2013-11-01 04:34","22.3","31.6","2013-11-01 15:40","10.6","2013-11-30 03:09","...","1.4","5","11.0","7","2013-11-18 12:41","16.0","...","3","...","...","...","...","11.5","2013-11-25 00:00","73","...","...","...","...","...","...","..."
"12","1014.4","...","1020.9","2013-12-22 09:10","1005.6","2013-12-17 13:28","17.4","26.4","2013-12-09 14:32","10.7","2013-12-27 22:05","...","1.8","18","16.9","13","2013-12-16 23:09","50.5","...","8","...","...","...","...","21.5","2013-12-17 00:00","73","...","...","...","...","...","...","..."
