"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1002.8","...","1011.0","2013-08-03 21:33","984.7","2013-08-21 14:46","28.2","36.0","2013-08-11 12:17","22.1","2013-08-29 18:55","...","1.6","1","16.2","225","2013-08-21 20:54","919.5","...","21","...","...","...","...","319.5","2013-08-29 00:00","82","...","...","...","...","...","...","..."
"09","1004.4","...","1010.6","2013-09-07 21:47","980.2","2013-09-21 13:57","28.0","34.6","2013-09-19 11:36","21.7","2013-09-02 05:01","...","1.4","10","16.7","157","2013-09-22 04:20","287.0","...","15","...","...","...","...","112.5","2013-09-23 00:00","77","...","...","...","...","...","...","..."
"10","1008.2","...","1016.5","2013-10-28 08:31","995.2","2013-10-06 14:31","26.1","34.4","2013-10-07 13:02","19.1","2013-10-27 06:24","...","1.4","3","15.6","315","2013-10-06 14:31","1.5","...","2","...","...","...","...","1.0","2013-10-02 00:00","71","...","...","...","...","...","...","..."
"11","1012.7","...","1020.3","2013-11-29 08:24","1006.6","2013-11-01 15:23","23.7","32.0","2013-11-08 13:34","12.5","2013-11-30 04:02","...","1.1","295","10.8","327","2013-11-25 01:51","30.0","...","3","...","...","...","...","20.5","2013-11-25 00:00","74","...","...","...","...","...","...","..."
"12","1013.5","...","1019.8","2013-12-22 08:49","1005.0","2013-12-17 13:16","19.3","30.0","2013-12-17 15:17","9.9","2013-12-28 06:00","...","1.2","4","10.6","337","2013-12-17 21:52","54.0","...","6","...","...","...","...","20.0","2013-12-16 00:00","73","...","...","...","...","...","...","..."
