"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.8","...","1022.0","2017-01-24 08:41","1005.7","2017-01-08 14:32","21.5","30.2","2017-01-08 14:03","10.5","2017-01-24 09:52","...","1.2","7","8.0","80","2017-01-20 16:16","0.0","...","0","...","...","...","...","0.0","2017-01-26 00:00","74","...","...","...","...","...","...","..."
"02","1015.1","...","1025.1","2017-02-14 09:03","1006.1","2017-02-05 15:34","20.9","30.5","2017-02-23 13:22","13.5","2017-02-10 02:33","...","1.4","296","8.5","309","2017-02-08 15:35","0.0","...","0","...","...","...","...","0.0","2017-02-28 00:00","70","...","...","...","...","...","...","..."
"03","1011.9","...","1019.7","2017-03-27 10:22","1004.7","2017-03-13 14:42","23.2","32.3","2017-03-13 12:12","10.5","2017-03-03 21:54","...","1.4","1","10.8","331","2017-03-31 23:56","7.5","...","3","...","...","...","...","5.5","2017-03-19 00:00","73","...","...","...","...","...","...","..."
"04","1009.4","...","1018.9","2017-04-03 08:01","1003.0","2017-04-10 16:12","25.4","32.7","2017-04-17 13:44","16.0","2017-04-01 05:27","...","1.4","4","9.1","18","2017-04-07 10:11","108.0","...","8","...","...","...","...","48.5","2017-04-22 00:00","74","...","...","...","...","...","...","..."
"05","1006.5","...","1012.6","2017-05-06 08:13","1000.3","2017-05-31 18:01","27.9","34.7","2017-05-14 15:11","21.5","2017-05-01 05:35","...","1.4","2","57.7","1","2017-05-09 15:04","104.5","...","10","...","...","...","...","51.5","2017-05-25 00:00","76","...","...","...","...","...","...","..."
"06","1005.2","...","1008.8","2017-06-12 22:32","999.9","2017-06-01 18:09","29.0","39.9","2017-06-18 17:21","24.3","2017-06-15 03:03","...","1.7","291","12.7","302","2017-06-02 13:56","318.5","...","14","...","...","...","...","86.0","2017-06-04 00:00","78","...","...","...","...","...","...","..."
"07","1004.5","...","1010.6","2017-07-07 22:11","980.8","2017-07-30 18:28","29.4","36.2","2017-07-08 14:13","23.2","2017-07-31 03:43","...","1.7","14","16.7","338","2017-07-30 18:41","479.0","...","11","...","...","...","...","175.0","2017-07-31 00:00","74","...","...","...","...","...","...","..."
"08","1003.9","...","1010.6","2017-08-27 21:55","991.1","2017-08-22 02:31","29.1","39.9","2017-08-05 20:22","23.6","2017-08-02 04:28","...","1.4","16","15.3","194","2017-08-22 13:52","346.5","...","15","...","...","...","...","109.5","2017-08-02 00:00","79","...","...","...","...","...","...","..."
"09","1005.8","...","1011.6","2017-09-29 21:35","998.1","2017-09-01 16:51","29.4","36.4","2017-09-27 13:33","24.4","2017-09-01 08:17","...","1.4","6","9.9","191","2017-09-07 02:39","78.5","...","12","...","...","...","...","22.5","2017-09-01 00:00","76","...","...","...","...","...","...","..."
"10","1007.4","...","1016.1","2017-10-30 07:51","996.5","2017-10-13 15:51","27.1","35.4","2017-10-10 12:01","19.5","2017-10-31 05:44","...","1.3","15","8.2","290","2017-10-09 13:52","119.0","...","10","...","...","...","...","43.5","2017-10-15 00:00","77","...","...","...","...","...","...","..."
"11","1011.2","...","1017.9","2017-11-24 09:16","1004.6","2017-11-18 14:15","24.7","33.1","2017-11-17 12:21","18.0","2017-11-25 05:07","...","1.2","4","8.2","191","2017-11-18 15:53","10.5","...","5","...","...","...","...","5.0","2017-11-11 00:00","81","...","...","...","...","...","...","..."
"12","1014.5","...","1021.9","2017-12-20 10:01","1008.3","2017-12-03 15:05","20.5","29.3","2017-12-03 14:11","14.1","2017-12-09 03:31","...","1.3","320","7.8","332","2017-12-16 12:58","1.0","...","1","...","...","...","...","1.0","2017-12-20 00:00","76","...","...","...","...","...","...","..."
