"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.3","...","1021.6","2019-01-01 08:51","1011.2","2019-01-14 14:54","21.7","30.7","2019-01-11 13:41","13.3","2019-01-23 03:52","...","1.3","7","9.0","291","2019-01-25 15:26","2.0","...","4","...","...","...","...","0.5","2019-01-15 00:00","73","...","...","...","...","...","...","..."
"02","1014.4","...","1021.0","2019-02-12 09:01","1008.7","2019-02-07 15:21","23.6","32.4","2019-02-19 12:33","17.9","2019-02-12 04:51","...","1.5","3","10.9","217","2019-02-18 15:38","6.5","...","2","...","...","...","...","4.5","2019-02-05 00:00","72","...","...","...","...","...","...","..."
"03","1011.7","...","1017.1","2019-03-14 06:37","1005.4","2019-03-03 14:21","23.8","32.8","2019-03-22 12:51","16.6","2019-03-08 04:45","...","1.4","312","8.8","294","2019-03-29 14:07","49.0","...","9","...","...","...","...","16.5","2019-03-10 00:00","74","...","...","...","...","...","...","..."
"04","1009.0","...","1016.7","2019-04-02 08:11","1003.0","2019-04-30 15:56","26.7","33.9","2019-04-29 12:01","19.8","2019-04-02 02:01","...","1.5","8","12.3","327","2019-04-19 15:30","40.5","...","3","...","...","...","...","24.5","2019-04-19 00:00","73","...","...","...","...","...","...","..."
"05","1006.5","...","1011.4","2019-05-04 09:06","1001.9","2019-05-17 16:15","27.0","35.4","2019-05-14 14:51","20.2","2019-05-16 08:11","...","1.3","10","13.4","41","2019-05-20 16:06","293.0","...","19","...","...","...","...","84.0","2019-05-20 00:00","82","...","...","...","...","...","...","..."
"06","1004.1","...","1009.4","2019-06-05 22:12","999.0","2019-06-30 15:52","29.3","36.4","2019-06-18 13:11","24.7","2019-06-10 15:52","...","1.5","31","12.0","348","2019-06-23 11:17","268.5","...","13","...","...","...","...","61.5","2019-06-14 00:00","77","...","...","...","...","...","...","..."
"07","1003.3","...","1009.9","2019-07-11 11:17","991.5","2019-07-17 17:17","28.8","36.4","2019-07-01 12:14","23.2","2019-07-19 18:18","...","1.5","1","14.5","184","2019-07-03 05:33","751.5","...","20","...","...","...","...","146.5","2019-07-19 00:00","82","...","...","...","...","...","...","..."
"08","1000.7","...","1008.5","2019-08-26 22:01","992.9","2019-08-10 00:53","28.4","35.2","2019-08-28 12:24","24.4","2019-08-31 05:15","...","1.7","24","13.7","213","2019-08-25 05:30","772.0","...","23","...","...","...","...","124.5","2019-08-13 00:00","85","...","...","...","...","...","...","..."
"09","1005.1","...","1013.9","2019-09-23 21:11","994.7","2019-09-30 15:02","28.2","34.6","2019-09-12 11:52","20.2","2019-09-22 15:42","...","1.4","38","11.4","18","2019-09-21 10:59","142.0","...","10","...","...","...","...","33.5","2019-09-04 00:00","77","...","...","...","...","...","...","..."
"10","1010.4","...","1014.4","2019-10-16 08:13","998.7","2019-10-01 00:01","27.6","33.0","2019-10-04 13:51","23.4","2019-10-18 06:18","...","1.3","319","11.7","328","2019-10-01 01:09","68.5","...","7","...","...","...","...","55.5","2019-10-03 00:00","76","...","...","...","...","...","...","..."
"11","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
