"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.3","...","1023.2","2018-01-13 09:21","1005.7","2018-01-22 14:24","19.7","29.3","2018-01-22 12:32","8.7","2018-01-13 06:14","...","1.3","318","7.6","22","2018-01-09 04:28","24.0","...","7","...","...","...","...","7.5","2018-01-05 00:00","79","...","...","...","...","...","...","..."
"02","1014.4","...","1022.7","2018-02-12 09:59","1007.8","2018-02-21 14:45","19.3","31.6","2018-02-20 13:22","9.0","2018-02-06 00:21","...","1.4","21","9.2","287","2018-02-02 12:31","9.0","...","4","...","...","...","...","5.5","2018-02-11 00:00","77","...","...","...","...","...","...","..."
"03","1011.9","...","1019.1","2018-03-11 08:21","1005.1","2018-03-20 16:06","22.8","32.6","2018-03-05 12:51","11.6","2018-03-09 05:45","...","1.4","2","10.4","277","2018-03-20 13:44","66.0","...","5","...","...","...","...","29.5","2018-03-15 00:00","71","...","...","...","...","...","...","..."
"04","1010.1","...","1018.9","2018-04-07 09:21","1003.4","2018-04-23 14:52","25.5","33.3","2018-04-23 10:22","15.9","2018-04-07 02:21","...","1.4","2","11.5","207","2018-04-23 11:50","36.0","...","7","...","...","...","...","21.5","2018-04-06 00:00","73","...","...","...","...","...","...","..."
"05","1007.6","...","1014.4","2018-05-04 21:54","1003.0","2018-05-25 16:11","28.5","35.2","2018-05-31 14:41","21.9","2018-05-09 05:54","...","1.5","173","9.4","317","2018-05-26 16:33","39.0","...","3","...","...","...","...","24.5","2018-05-08 00:00","74","...","...","...","...","...","...","..."
"06","1002.6","...","1009.0","2018-06-25 22:18","990.5","2018-06-14 19:22","28.5","35.6","2018-06-09 12:51","11.2","2018-06-15 06:29","...","1.6","12","15.0","182","2018-06-14 19:04","921.5","...","18","...","...","...","...","191.0","2018-06-19 00:00","79","...","...","...","...","...","...","..."
"07","1001.8","...","1005.9","2018-07-27 22:26","995.6","2018-07-21 14:51","28.5","40.1","2018-07-16 08:52","23.4","2018-07-03 03:06","...","1.5","1","14.4","337","2018-07-08 16:24","891.0","...","21","...","...","...","...","241.5","2018-07-02 00:00","83","...","...","...","...","...","...","..."
"08","1000.5","...","1010.3","2018-08-31 09:11","988.4","2018-08-23 06:42","27.4","35.1","2018-08-01 14:23","22.4","2018-08-23 19:43","...","1.7","57","20.7","254","2018-08-23 10:43","1526.5","...","25","...","...","...","...","358.0","2018-08-28 00:00","88","...","...","...","...","...","...","..."
"09","1004.9","...","1012.5","2018-09-17 22:24","994.0","2018-09-15 16:02","28.4","40.1","2018-09-22 15:02","23.1","2018-09-24 15:16","...","1.4","7","13.6","147","2018-09-24 15:08","241.0","...","15","...","...","...","...","73.0","2018-09-06 00:00","81","...","...","...","...","...","...","..."
"10","1010.3","...","1016.5","2018-10-20 08:41","1002.6","2018-10-04 15:16","26.3","32.7","2018-10-16 11:16","19.2","2018-10-29 02:21","...","1.3","59","8.8","291","2018-10-05 14:13","10.0","...","2","...","...","...","...","6.0","2018-10-10 00:00","75","...","...","...","...","...","...","..."
"11","1012.9","...","1018.2","2018-11-30 08:21","1007.0","2018-11-02 02:33","25.3","33.0","2018-11-03 12:34","19.1","2018-11-24 02:32","...","1.2","4","8.4","18","2018-11-26 13:38","0.0","...","0","...","...","...","...","0.0","2018-11-24 00:00","76","...","...","...","...","...","...","..."
"12","1014.5","...","1021.4","2018-12-31 08:13","1005.8","2018-12-26 14:41","23.0","32.9","2018-12-04 14:45","10.2","2018-12-10 04:15","...","1.3","317","7.3","287","2018-12-30 13:26","0.0","...","0","...","...","...","...","0.0","2018-12-19 00:00","72","...","...","...","...","...","...","..."
