"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.4","...","1028.6","2016-01-24 21:54","1003.8","2016-01-17 14:49","19.2","30.0","2016-01-05 13:41","6.0","2016-01-25 00:35","...","1.3","3","8.0","296","2016-01-03 11:54","186.5","...","14","...","...","...","...","77.0","2016-01-17 00:00","96","...","...","...","...","...","...","..."
"02","1016.3","...","1024.1","2016-02-25 09:14","1008.2","2016-02-13 14:34","19.7","31.5","2016-02-13 13:01","8.6","2016-02-07 06:17","...","1.4","267","11.8","179","2016-02-11 14:10","18.0","...","4","...","...","...","...","14.5","2016-02-12 00:00","83","...","...","...","...","...","...","..."
"03","1013.0","...","1021.0","2016-03-01 08:05","1005.9","2016-03-08 15:22","21.4","31.5","2016-03-09 12:53","12.5","2016-03-26 03:45","...","1.3","9","8.7","173","2016-03-18 12:32","73.0","...","10","...","...","...","...","20.0","2016-03-24 00:00","90","...","...","...","...","...","...","..."
"04","1008.4","...","1015.1","2016-04-19 09:51","1001.6","2016-04-13 13:46","26.9","34.2","2016-04-22 12:16","20.7","2016-04-19 02:01","...","1.4","1","13.0","239","2016-04-13 14:10","199.5","...","9","...","...","...","...","78.0","2016-04-14 00:00","90","...","...","...","...","...","...","..."
"05","1006.5","...","1011.4","2016-05-14 09:05","1001.4","2016-05-24 16:41","28.9","35.6","2016-05-27 12:41","23.8","2016-05-01 04:11","...","1.5","15","11.1","197","2016-05-09 11:38","85.5","...","9","...","...","...","...","29.5","2016-05-22 00:00","74","...","...","...","...","...","...","..."
"06","1005.4","...","1010.9","2016-06-29 22:52","1001.3","2016-06-08 15:51","29.7","37.3","2016-06-27 12:42","23.7","2016-06-11 02:32","...","1.7","10","12.6","171","2016-06-29 12:31","454.0","...","12","...","...","...","...","277.5","2016-06-11 00:00","77","...","...","...","...","...","...","..."
"07","1003.7","...","1009.1","2016-07-21 08:33","969.0","2016-07-08 07:54","29.7","38.1","2016-07-04 13:02","24.5","2016-07-18 16:48","...","1.7","6","25.7","267","2016-07-08 09:05","596.5","...","13","...","...","...","...","188.0","2016-07-08 00:00","77","...","...","...","...","...","...","..."
"08","1000.4","...","1007.1","2016-08-03 21:44","995.1","2016-08-01 04:51","28.9","35.5","2016-08-22 13:31","24.5","2016-08-12 03:07","...","1.5","9","13.7","134","2016-08-01 13:03","531.5","...","19","...","...","...","...","102.5","2016-08-10 00:00","80","...","...","...","...","...","...","..."
"09","1002.8","...","1010.7","2016-09-21 08:57","976.6","2016-09-14 11:51","28.1","35.8","2016-09-12 14:12","23.0","2016-09-19 16:01","...","1.8","151","36.3","117","2016-09-14 13:05","1278.5","...","21","...","...","...","...","207.0","2016-09-14 00:00","82","...","...","...","...","...","...","..."
"10","1006.7","...","1015.3","2016-10-30 08:31","996.2","2016-10-20 15:17","28.2","34.2","2016-10-22 10:13","23.7","2016-10-30 06:28","...","1.3","29","13.6","180","2016-10-21 12:49","148.0","...","11","...","...","...","...","53.5","2016-10-08 00:00","79","...","...","...","...","...","...","..."
"11","1011.7","...","1017.8","2016-11-29 09:43","1006.6","2016-11-05 14:23","25.5","33.8","2016-11-19 12:34","19.5","2016-11-27 22:00","...","1.2","4","8.3","151","2016-11-20 10:35","65.0","...","6","...","...","...","...","59.5","2016-11-27 00:00","75","...","...","...","...","...","...","..."
"12","1013.7","...","1020.3","2016-12-16 09:21","1006.9","2016-12-09 14:12","22.6","31.2","2016-12-13 12:33","15.7","2016-12-17 06:51","...","1.2","294","7.3","268","2016-12-25 15:06","2.5","...","2","...","...","...","...","2.0","2016-12-28 00:00","75","...","...","...","...","...","...","..."
