ID,Actual,Predicted
1,29,24.643277904125448
2,27,24.456912056891074
3,9,24.270546209656704
4,13,24.084180362422334
5,13,23.897814515187964
6,15,23.711448667953594
7,12,23.33871697348485
8,8,23.15235112625048
9,9,22.96598527901611
10,5,25.016009598594188
11,21,22.96598527901611
12,15,25.016009598594188
13,11,24.829643751359818
14,21,25.016009598594188
15,20,24.829643751359818
16,18,24.643277904125448
17,21,24.456912056891074
18,19,22.96598527901611
19,19,23.15235112625048
20,19,23.33871697348485
21,8,23.711448667953594
22,18,23.897814515187964
23,30,23.897814515187964
24,36,23.711448667953594
25,32,23.52508282071922
26,32,23.33871697348485
27,32,23.15235112625048
28,28,22.96598527901611
29,28,25.016009598594188
30,28,24.829643751359818
31,22,24.643277904125448
32,26,24.456912056891074
33,21,24.270546209656704
34,17,24.084180362422334
35,17,23.897814515187964
36,8,23.15235112625048
37,16,23.711448667953594
38,15,23.52508282071922
39,11,23.33871697348485
40,29,24.270546209656704
41,23,24.084180362422334
42,23,23.897814515187964
43,20,23.711448667953594
44,17,23.33871697348485
45,18,23.52508282071922
46,29,23.897814515187964
47,28,23.711448667953594
48,31,24.084180362422334
49,28,24.270546209656704
50,23,24.456912056891074
51,23,23.33871697348485
52,22,23.15235112625048
53,22,22.96598527901611
54,21,24.643277904125448
55,22,24.829643751359818
56,22,25.016009598594188
57,12,23.897814515187964
58,17,24.084180362422334
59,24,24.270546209656704
60,21,24.456912056891074
61,26,24.643277904125448
62,24,24.829643751359818
63,20,25.016009598594188
64,23,22.96598527901611
65,27,23.15235112625048
66,28,23.33871697348485
67,30,23.52508282071922
68,35,23.711448667953594
69,43,23.897814515187964
70,37,24.084180362422334
71,22,24.084180362422334
72,25,24.270546209656704
73,20,23.897814515187964
74,15,23.711448667953594
75,17,23.52508282071922
76,15,23.33871697348485
77,14,23.15235112625048
78,19,22.96598527901611
79,17,25.016009598594188
80,15,24.829643751359818
81,9,24.643277904125448
82,32,25.016009598594188
83,17,24.829643751359818
84,23,24.643277904125448
85,25,24.456912056891074
